Key	English	French
h	h	h
s	s	s
min	min	min
Coins	Coins	Pièces
COINS	COINS	PIÈCES
coins	coins	pièces
UNLOCK	UNLOCK	DÉBLOQUER
Bucks	Bucks	Billets
BUCKS	BUCKS	BILLETS
bucks	bucks	billets
PURCHASE	PURCHASE	ACHETER
LATER	LATER	PLUS TARD
DONE	DONE	TERMINÉ
PURCHASE MORE	PURCHASE MORE	ACHETEZ PLUS DE
MISSIONS	MISSIONS	MISSIONS
Resume	Resume	Continuer
Quit	Quit	Quitter
Restart	Restart	Recommencer
Reset Game	Reset Game	Réinitialiser le jeu
Options	Options	Options
MORE GAMES	MORE GAMES	PLUS DE JEUX
GAME CENTER	GAME CENTER	GAME CENTER
Retry	Retry	Réessayer
Menu	Menu	Menu
m	m	m
New\nRecord!	New\nRecord!	Nouveau\nRecord!
@ remaining	@ remaining	@ restant
m remaining	m remaining	m restant
2K TIME	2K TIME	TEMPS AU 2000m
Hands Free\nLanding!	Hands Free\nLanding!	Atterrissage\nSans mains!
Perfect Slam\nLanding!	Perfect Slam\nLanding!	Atterrissage\nplaqué!
Tumbler	Tumbler	Acrobatie
Long Slam	Long Slam	Long Plaquage
Close Call	Close Call	Frousse
PLAY	PLAY	JOUER
OPTIONS	OPTIONS	OPTIONS
Best	Best	Record
BEST	BEST	RECORD
Distance	Distance	Distance
Big Air	Big Air	Haut Saut
Long Jump	Long Jump	Long Saut
Front Flip	Front Flip	Salto Avant
Hang Time	Hang Time	Vol Plané
Stunts	Stunts	Cascades
Best Stunt	Best Stunt	Cascade #1
None :(	None :(	Aucune :(
Back Flip	Back Flip	Salto Arrière
Back Wheelie	Back Wheelie	Roue Arrière
Perfect Landing	Perfect Landing	Atterrissage parfait
Perfect\nLanding!	Perfect Landing!	Atterrissage\nparfait!
RETRY	RETRY	RÉESSAYER
ENGLISH	ENGLISH	ENGLISH
FRAN\u00C7AIS	FRAN\u00C7AIS	FRAN\u00C7AIS
Front Wheelie	Front Wheelie	Roue Avant
Good Landing	Good Landing	Bon Atterrissage
Great Landing	Great Landing	Excellent\nAtterrissage
GAME PAUSED	GAME PAUSED	PAUSE
QUIT	QUIT	QUITTER
RESUME	RESUME	CONTINUER
ACHIEVEMENTS	ACHIEVEMENTS	TROPHÉES
ACHIEVEMENT	ACHIEVEMENT	TROPHÉE
Sloppy Landing	Sloppy Landing	Piètre Atterrissage
Wheelie Landing	Wheelie Landing	Retour Au Sol
THE CLASSY	THE CLASSY	LA CLASSE
THE COMPACT	THE COMPACT	LA COMPACTE
THE ELECTRIC	THE ELECTRIC	L'ÉLECTRIQUE
THE FORMULA	THE FORMULA	LA FORMULE
THE GLIDER	THE GLIDER	LE PLANEUR
THE MUD	THE MUD	LA BOUE
THE MUSCLE	THE MUSCLE	LA MUSCLÉE
THE PISTOL	THE PISTOL	LE PISTOLET
THE POLIZIA	THE POLIZIA	LA POLICE
THE RACER	THE RACER	LE COUREUR
THE RALLY	THE RALLY	LE RALLY
THE SNAKE	THE SNAKE	LA VIPÈRE
THE SPIDER	THE SPIDER	L'ARAIGNÉE
THE TORPEDO	THE TORPEDO	LA TORPILLE
THE TAXI	THE TAXI	LE TAXI
THE JACK	THE JACK	LA JACK
THE DRAGSTER	THE DRAGSTER	LA FUSÉE
THE PACEMAKER	THE PACEMAKER	LE DÉFIBRILATEUR
THE BUSH	THE BUSH	LA SAUVAGE
THE CHARGE	THE CHARGE	LA CHARGE
THE BRO	THE BRO	LE FRIMEUR
THE HOT ROD	THE HOT ROD	L'ENFLAMMÉE
THE PEAK	THE PEAK	LA SUMMUM
THE GOLDEN	THE GOLDEN	LA DORÉE
THE TORO	THE TORO	LA TORO
THE KING	THE KING	LE ROI
THE ROADIE	THE ROADIE	LA GROUPIE
THE SPORTSMAN	THE SPORTSMAN	LE SPORTIF
THE IMPRESSIVE	THE IMPRESSIVE	L'IMPRESSIONNANTE
THE 88	THE 88	LA 88
THE SPY	THE SPY	L'ESPION
THE MONSTER	THE MONSTER	LE MONSTRE
THE HIPPIE	THE HIPPIE	LE HIPPIE
THE OPTIMAL	THE OPTIMAL	L'OPTIMAL
THE BEE	THE BEE	L'ABEILLE
THE INSOMNIAC	THE INSOMNIAC	L'INSOMNIAQUE
THE GHOST	THE GHOST	LA FANTÔME
THE AERIAL	THE AERIAL	L'AÉRIENNE
THE SAFARI	THE SAFARI	LA SAFARI
THE DELICIOUS	THE DELICIOUS	LE DÉLICE
THE GETAWAY	THE GETAWAY	LA FUITE
THE DUO	THE DUO	LA DUO
THE 3030	THE 3030	LA 3030
THE DOH	THE DOH	LA DOH
THE 500	THE 500	LA 500
THE SCREAMER	THE SCREAMER	LE HURLEUR
THE DRIFTER	THE DRIFTER	LA DÉRAPE
THE DIGITAL	THE DIGITAL	LA DIGITALE
THE STEALTH	THE STEALTH	LA FURTIVE
THE DIRTY	THE DIRTY	LA CRASSE
THE MOVERS	THE MOVERS	LES DÉMÉNAGEURS
THE ADVENTURE	THE ADVENTURE	L'AVENTURIÈRE
THE RED LIGHT	THE RED LIGHT	LA LUMIÈRE ROUGE
THE RADIO	THE RADIO	LA RADIO
THE ENGINE	THE ENGINE	LE MOTEUR
THE PROTECTOR	THE PROTECTOR	LA PROTECTRICE
THE TRAVELER	THE TRAVELER	LE VOYAGEUR
THE SHELL	THE SHELL	LA COQUILLE
THE HARDHAT	THE HARDHAT	LE TRAVAILLEUR
THE MARK II	THE MARK II	LA VERSION 2
THE CLASSIC	THE CLASSIC	LA CLASSIQUE
THE STEAMER	THE STEAMER	LA VAPEUR
THE TOW	THE TOW	LA REMORQUE
THE ROVER	THE ROVER	L'EXPLORATEUR
THE 1942	THE 1942	LA 1942
THE SPEEDER	THE SPEEDER	LE BOLIDE
THE J	THE J	LA J
THE ZOMBIE	THE ZOMBIE	LA ZOMBIE
THE T	THE T	LA T
THE RED	THE RED	LA ROUGE
THE MIDAS	THE MIDAS	LA MIDAS
THE MINORITY	THE MINORITY	LA MINORITAIRE
THE DINOSAUR	THE DINOSAUR	LE DINOSAURE
THE ONE	THE ONE	L'UNIQUE
THE JUNIOR ACE	THE JUNIOR ACE	L'AS JUNIOR
THE CADET	THE CADET	LE CADET
THE SILVER	THE SILVER	L'ARGENTÉE
THE BEDTIME	THE BEDTIME	LA SOIRÉE
THE RC	THE RC	LA TÉLÉGUIDÉE
THE ZACK	THE ZACK	LA ZACK
THE COAL	THE COAL	LE CHARBON
THE MINER	THE MINER	LE MINEUR
THE ROCK HARD	THE ROCK HARD	LE ROC
THE HEALER	THE HEALER	LE GUÉRISSEUR
THE DIAMOND	THE DIAMOND	LA DIAMANT
THE CRATE	THE CRATE	LA CAISSE
THE LEMON	THE LEMON	LA CITRON
THE SPIRIT	THE SPIRIT	LA SPIRITUELLE
THE RAPTOR	THE RAPTOR	LE VÉLOCIRAPTOR
THE OMG	THE OMG	LA OMG
THE ATLANTEAN	THE ATLANTEAN	L'ATLANTIQUE
THE COUGAR	THE COUGAR	LA COUGAR
THE MID-SIZED	THE MID-SIZED	LA FAMILIALE
THE 46	THE 46	LA 46
THE GAMBLER	THE GAMBLER	LA JOUEUSE
THE JAGGED	THE JAGGED	L'IRRÉGULIÈRE
THE ASPHALT	THE ASPHALT	L'ASPHALTE
THE RAGER	THE RAGER	L'ENRAGÉE
THE BOMBA	THE BOMBA	LA BOMBA
THE CURVY	THE CURVY	LA TORDUE
THE SHADOW	THE SHADOW 	L'OMBRE
THE VENOM	THE VENOM	LA VENIMEUSE
THE STREAMLINED	THE STREAMLINED	L'ÉPURÉ
THE PRESTIGIOUS	THE PRESTIGIOUS	LA PRESTIGIEUSE
THE PHOENIX	THE PHOENIX	LE PHÉNIX
THE RACUDA	THE RACUDA	L’ANGUILLE
THE HEAVY DUTY	THE HEAVY DUTY	LE SALE JOB
THE CLASSIC	THE CLASSIC	LA CLASSIQUE
THE INSECT	THE INSECT	L’INSECTE
THE TOOLBOX	THE TOOLBOX	LE GARAGISTE
Travel 5000m	Travel 5000m	Roule 5000m
Travel 10000m	Travel 10000m	Roule 10000m
Travel 20000m	Travel 20000m	Roule 20000m
Travel 50000m	Travel 50000m	Roule 50000m
Travel 100000m	Travel 100000m	Roule 100000m
Reach 500m	Reach 500m	Atteins 500m
Reach 2000m	Reach 2000m	Atteins 2000m
Reach 5000m	Reach 5000m	Atteins 5000m
Reach 10000m	Reach 10000m	Atteins 10000m
Reach 20000m	Reach 20000m	Atteins 20000m
Travel 500m in a game	Travel 500m in a game	Roule 500m dans une course
Travel 2000m in a game	Travel 2000m in a game	Roule 2000m dans une course
Travel 5000m in a game	Travel 5000m in a game	Roule 5000m dans une course
Pickup 500@	Pickup 500@	Ramasse 500@
Pickup 1000@	Pickup 1000@	Ramasse 1000@
Pickup 2000@	Pickup 2000@	Ramasse 2000@
Pickup 5000@	Pickup 5000@	Ramasse 5000@
Pickup 50@ in a game	Pickup 50@ in a game	Ramasse 50@ dans une course
Pickup 100@ in a game	Pickup 100@ in a game	Ramasse 100@ dans une course
Pickup 200@ in a game	Pickup 200@ in a game	Ramasse 200@ dans une course
Pickup 500@ in a game	Pickup 500@ in a game	Ramasse 500@ dans une course
Pickup 1000@ in a game	Pickup 1000@ in a game	Ramasse 1000@ dans une course
Do a Perfect landing	Do a Perfect landing	Fais un Atterrissage Parfait
Do a Perfect Slam landing	Do a Perfect Slam landing	Fais un Atterrissage plaqué
2 consecutive Perfect landings	2 consecutive Perfect landings	2 Atterrissages parfaits consécutifs
2 consecutive Perfect Slam landings	2 consecutive Perfect Slam landings	2 Atterrissages plaqués consécutifs
3 consecutive Perfect landings	3 consecutive Perfect landings	3 Atterrissages parfaits consécutifs
3 consecutive Perfect Slam landings	3 consecutive Perfect Slam landings	3 Atterrissages plaqués consécutifs
Activate the Overdrive	Activate the Overdrive	Active la Super Nitro
Overdrive twice in a game	Overdrive twice in a game	Active 2 fois la Super Nitro
Overdrive 3 times in a game	Overdrive 3 times in a game	Active 3 fois la Super Nitro
Overdrive 5 times in a game	Overdrive 5 times in a game	Active 5 fois la Super Nitro
Overdrive 10 times in a game	Overdrive 10 times in a game	Active 10 fois la Super Nitro
Jump over a distance of 50m	Jump over a distance of 50m	Saute sur une distance de 50m
Jump over a distance of 100m	Jump over a distance of 100m	Saute sur une distance de 100m
Jump over a distance of 200m	Jump over a distance of 200m	Saute sur une distance de 200m
Jump over a distance of 500m	Jump over a distance of 500m	Saute sur une distance de 500m
Jump over a distance of 300m	Jump over a distance of 300m	Saute sur une distance de 300m
Jump over a distance of 850m	Jump over a distance of 850m	Saute sur une distance de 850m
Do 2 flips in a jump	Do 2 flips in a jump	Fais 2 saltos dans un saut
Do 3 flips in a jump	Do 3 flips in a jump	Fais 3 saltos dans un saut
Do 4 flips in a jump	Do 4 flips in a jump	Fais 4 saltos dans un saut
Do 5 flips in a jump	Do 5 flips in a jump	Fais 5 saltos dans un saut
Do 10 flips in a jump	Do 10 flips in a jump	Fais 10 saltos dans un saut
Do 10 flips in a game	Do 10 flips in a game	Fais 10 saltos dans une course
Do 20 flips in a game	Do 20 flips in a game	Fais 20 saltos dans une course
Do 30 flips in a game	Do 30 flips in a game	Fais 30 saltos dans une course
Do 50 flips in a game	Do 50 flips in a game	Fais 50 saltos dans une course
Hit a mine	Hit a mine	Frappe une mine
Hit 3 mines in a game	Hit 3 mines in a game	Frappe trois mines
Hit 5 mines in a game	Hit 5 mines in a game	Frappe cinq mines
Crash between 300m and 400m	Crash between 300m and 400m	Écrase toi entre 300m et 400m
Crash between 1000m and 1200m	Crash between 1000m and 1200m	Écrase toi entre 1000m et 1200m
Crash between 2000m and 2250m	Crash between 2000m and 2250m	Écrase toi entre 2000m et 2250m
Slam while upside down	Slam while upside down	Fais un plaquage la tête en bas
Travel 50m while upside down	Travel 50m while upside down	Survole 50m la tête en bas
Travel 200m while upside down	Travel 200m while upside down	Survole 200m la tête en bas
Travel 400m while upside down	Travel 400m while upside down	Survole  400m la tête en bas
OVERALL STATS	OVERALL STATS	STATS GLOBALES
Time played:	Time played:	Temps joué:
Time played per run avg.:	Time played per run avg.:	Temps joué en moyenne:
Coins picked up:	Coins picked up:	Pièces ramassées:
Total coins spent:	Total coins spent:	Pièces dépensées:
Coins made per run avg:	Coins made per run avg:	Pièces par course:
Most profitable race:	Most profitable race:	Course la plus rentable:
Total distance:	Total distance:	Distance totale:
Total distance on boost:	Total distance on boost:	Distance sur la nitro:
Distance spent on air:	Distance spent on air:	Distance dans les airs:
Longest distance:	Longest distance:	Plus longue distance:
Highest jump:	Highest jump:	Plus haut saut:
Longest jump:	Longest jump:	Plus long saut:
Most flip in a jump:	Most flips in a jump:	Le plus de saltos en un saut:
Most stunt in a jump:	Most stunt in a jump:	Cascades en un saut:
Number of slams:	Number of slams:	Nombre de plaquages:
Number of races:	Number of races:	Nombre de courses:
Number of stunts:	Number of stunts:	Nombre de cascades:
Perfect landing:	Perfect landing:	Atterrissages parfait:
Perfect Slam landing:	Perfect Slam landing:	Atterrissages Plaqués:
Overdrive activated	Overdrive activated	Super Nitro activés:
Total wheelie distance:	Total wheelie distance:	Distance sur 2 roues:
Total distance on ground:	Total distance on ground:	Distance totale au sol:
Longest distance on ground:	Longest distance on ground:	Plus longue distance au sol:
Reach 2000m under 60 seconds	Reach 2000m under 60 seconds	Atteins 2000m en 60 secondes
Reach 2000m under 50 seconds	Reach 2000m under 50 seconds	Atteins 2000m en 50 secondes
Reach 2000m under 40 seconds	Reach 2000m under 40 seconds	Atteins 2000m en 40 secondes
Reach 2000m under 30 seconds	Reach 2000m under 30 seconds	Atteins 2000m en 30 secondes
Use the Magnet powerup	Use the Magnet powerup	Achète l'aimant
Use the Boost powerup	Use the Boost powerup	Achète la Super Nitro
Use the Coin Doubler powerup	Use the Coin Doubler powerup	Achète le doubleur de pièces
Crash your car before 120m	Crash your car before 120m	Écrase ta voiture avant 120m
Crash your car between 600m and 700m	Crash your car between 600m and 700m	Écrase ta voiture entre 600m et 700m
STATS	STATS	STATS
OVERALL	OVERALL	GLOBAL
LEADERBOARDS	LEADERBOARDS	CLASSEMENTS
5k TIME	5K TIME	TEMPS AU 5000m
10k TIME	10K TIME	TEMPS AU 10000m
MUSIC	MUSIC	MUSIQUE
SOUNDS	SOUNDS	SONS
CREDITS	CREDITS	GÉNÉRIQUE
RESTART	RESTART	REPRENDRE
CHANGE CAR	CHANGE CAR	VOITURES
SKIP	SKIP	PASSER
Next	Next	Suivant
NEW	NEW	WOW!
LEVEL UP!	LEVEL UP!	NIVEAU!
REWARDS	REWARDS	RÉCOMPENSE
FREE CRATE!	FREE CRATE!	GRATUITE!
Break the crate to get your reward!	Break the crate to get your reward!	Brise la caisse pour récolter ta récompense!
Break the crates to get your reward!	Break the crates to get your reward!	Brise les caisses pour récolter ta récompense!
You are now level {0}	You are now level {0}	Tu es maintenant niveau {0}
Here's your gift! :)	Here's your gift! :)	Voici ton cadeau! :)
Thanks for watching!	Thanks for watching!	Merci d'avoir visionné!
RANDOM	RANDOM	ALÉATOIRE
