rank	prefab	displayName	mass	suspensionDistance	suspensionSpring	suspensionDamper	price	category	gas	flip	speed	boost	slam	maxSpeed	description
1	Compact	THE COMPACT	200	0.2	4000	200	{"amount":0,"currency":"coins"}	0	3	1	0	0	0	100	Almost reliable
2	Mud	THE MUD	200	0.2	4000	200	{"amount":1000,"currency":"coins"}	0	2	0	0	1	2	100	Bouncy and dirty
3	Classy	THE CLASSY	200	0.2	4000	200	{"amount":2000,"currency":"coins"}	0	2	0	1	1	1	100	Power and class
4	Pistol	THE PISTOL	200	0.2	4000	200	{"amount":3000,"currency":"coins"}	0	4	2	1	2	2	100	Shooting star
5	Racer	THE RACER	200	0.2	4000	200	{"amount":4000,"currency":"coins"}	0	1	2	2	3	2	100	Great starter
6	Rally	THE RALLY	200	0.2	4000	200	{"amount":5000,"currency":"coins"}	0	2	2	2	3	2	100	Made for this
13	Taxi	THE TAXI	200	0.2	4000	200	{"amount":10,"currency":"bucks"}	1	2	2	2	4	3	100	You talkin' to me?
14	Muscle	THE MUSCLE	200	0.2	4000	200	{"amount":10,"currency":"bucks"}	1	0	1	3	5	2	100	One heavy bad boy
15	Electric	THE ELECTRIC	200	0.2	4000	200	{"amount":10,"currency":"bucks"}	1	3	2	3	3	3	100	Tesla would be proud
16	Spider	THE SPIDER	200	0.2	4000	200	{"amount":20,"currency":"bucks"}	1	0	3	3	4	3	100	Great power
17	Torpedo	THE TORPEDO	200	0.2	4000	200	{"amount":20,"currency":"bucks"}	1	0	3	4	5	3	100	Incoming!
18	Snake	THE SNAKE	200	0.2	4000	200	{"amount":30,"currency":"bucks"}	1	0	4	4	4	5	100	Quicker than the eye
25	Glider	THE GLIDER	200	0.2	4000	200	{"amount":30,"currency":"bucks"}	1	1	4	4	4	4	100	Gliding through the sky
26	Polizia	THE POLIZIA	200	0.2	4000	200	{"amount":40,"currency":"bucks"}	1	1	4	3	4	4	100	Whatcha gonna do
27	Formula	THE FORMULA	200	0.2	4000	200	{"amount":40,"currency":"bucks"}	1	0	3	5	4	3	100	Master of speed
7	Jack	THE JACK	200	0.2	4000	200	{"amount":5000,"currency":"coins"}	0	4	4	2	2	0	100	Majestic paint job
8	Dragster	THE DRAGSTER	200	0.2	4000	200	{"amount":7500,"currency":"coins"}	0	0	0	4	4	0	100	Pure boost... and not much else
9	Toro	THE TORO	200	0.2	4000	200	{"amount":10000,"currency":"coins"}	0	1	2	4	3	2	100	Can make you see red
10	King	THE KING	200	0.2	4000	200	{"amount":15000,"currency":"coins"}	0	2	2	4	3	3	100	The King has left the garage
11	Charge	THE CHARGE	200	0.2	4000	200	{"amount":15000,"currency":"coins"}	0	2	1	4	2	2	100	Unstoppable Monster
12	Golden	THE GOLDEN	200	0.2	4000	200	{"amount":100000,"currency":"coins"}	0	3	2	3	2	1	100	Monocle not included
28	Bro	THE BRO	200	0.2	4000	200	{"amount":40,"currency":"bucks"}	1	1	3	4	4	3	100	Do you even lift?
29	Hotrod	THE HOT ROD	200	0.2	4000	200	{"amount":40,"currency":"bucks"}	1	3	3	3	5	1	100	Flaming Hot
30	Peak	THE PEAK	200	0.2	4000	200	{"amount":50,"currency":"bucks"}	1	1	5	5	4	3	100	Roaring powerhouse
19	Roadie	THE ROADIE	200	0.2	4000	200	{"amount":10,"currency":"bucks"}	1	2	1	1	1	5	100	Noise, Metal, Blood and Fire
20	Sportsman	THE SPORTSMAN	200	0.2	4000	200	{"amount":20,"currency":"bucks"}	1	2	2	2	3	5	100	Two lanes wide
21	Impressive	THE IMPRESSIVE	200	0.2	4000	200	{"amount":20,"currency":"bucks"}	1	2	4	3	2	2	100	Slick as a shadow in the night
22	The88	THE 88	200	0.2	4000	200	{"amount":50,"currency":"bucks"}	1	2	2	4	4	3	100	The car of the future
