level	xp
1	0
2	300
3	800
4	1600
5	2700
6	4200
7	6100
8	8400
9	11100
10	14300
11	17900
12	22100
13	26800
14	32000
15	37800
16	44200
17	51200
18	58800
19	67100
20	76000
21	85600
22	95900
23	106900
24	118700
25	131200
26	144500
27	158500
28	173300
29	188900
30	205300
31	222600
32	240700
33	259700
34	279500
35	300200
36	321800
37	344300
38	367700
39	392100
40	417400
41	443700
42	470900
43	499100
44	528300
45	558500
46	589700
47	621900
48	655200
49	689500
50	724900
51	761300
52	798800
53	837400
54	877100
55	917900
56	959800
57	1002800
58	1047000
59	1092300
60	1138800
61	1186400
62	1235200
63	1285200
64	1336400
65	1388800
66	1442400
67	1497200
68	1553300
69	1610600
70	1669200
71	1729000
72	1790100
73	1852500
74	1916200
75	1981200
76	2047500
77	2115100
78	2184000
79	2254200
80	2325800
81	2398700
82	2473000
83	2548600
84	2625600
85	2704000
86	2783800
87	2864900
88	2947500
89	3031500
90	3116900
91	3203700
92	3291900
93	3381600
94	3472700
95	3565300
96	3659400
97	3754900
98	3851900
99	3950400
100	4050400
101	4151900
102	4254900
103	4359400
104	4465500
105	4573100
106	4682200
107	4792900
108	4905100
109	5018900
110	5134300
111	5251200
112	5369700
113	5489800
114	5611500
115	5734800
116	5859700
117	5986300
118	6114500
119	6244300
120	6375800
121	6508900
122	6643700
123	6780100
124	6918200
125	7019700
126	7122700
127	7227200
128	7333300
129	7440900
130	7550000
131	7660700
132	7772900
133	7886700
134	8002100
135	8105100
136	8209600
137	8315700
138	8423300
139	8532400
140	8643100
141	8755300
142	8869100
143	8984500
144	9101400
145	9219900
146	9340000
147	9461700
148	9585000
149	9709900
150	9836500
151	9898714
152	10010560
153	10122406
154	10234251
155	10346097
156	10457943
157	10569789
158	10681635
159	10793480
160	10905326
161	11017172
162	11129018
163	11240863
164	11352709
165	11464555
166	11576401
167	11688247
168	11800092
169	11911938
170	12023784
171	12135630
172	12247475
173	12359321
174	12471167
175	12583013
176	12694859
177	12806704
178	12918550
179	13030396
180	13142242
181	13254087
182	13365933
183	13477779
184	13589625
185	13701471
186	13813316
187	13925162
188	14037008
189	14148854
190	14260699
191	14372545
192	14484391
193	14596237
194	14708083
195	14819928
196	14931774
197	15043620
198	15155466
199	15267311
200	15379157
